business_id,review_text,review_star,positive_phrases,positive_polarity,negative_phrases,negative_polarity
KWTv8elo9HiN9sIKvN0_bQ,"I'm so glad that I found this place using yelp mobile.  I happen to be in a part of town that I am not normally in.   I looked at the reviews for it, but there weren't very many.  But I decided to take a risk.  When I drove up, I was a little scared.  It's not a fancy place by any means.   

My husband and I go to the counter to order.  It's one of those places where you order your food first then sit.  We chose the lo mein, cashew shrimp,  Mongolian beef, fried rice and beef egg foo young.  We got free cheese crab won ton for spending over $20.  

I was nervous to try this food.  You never know what you are going to get!  Well, it was soooooo good!  I finally found a great Chinese restaurant on the way home from work.  The egg foo young is a must and so is the lo mein.  I would order the cream cheese won tons again as well as the Mongolian beef.  I can't say anything good or bad about the shrimp.  Wouldn't order it again.  But I am very excited about which other items I might love.
I will be back!",5,"[u' so glad', u' very many', u' soooooo good', u' very excited']",2.3375,[],0
KWTv8elo9HiN9sIKvN0_bQ,"I took my employees here for a Christmas lunch. We were a little leery when we pulled up. The place doesn't look like much from the outside and there weren't any other customers in the dining room. That being said, everyone thoroughly enjoyed the food, and most of us have been back several times since. On each of my visits I've been treated to complimentary cream cheese rangoons, and I haven't been disappointed in a dish yet. I can highly recommend the orange chicken, kung pao chicken, twice cooked pork, and vegetable delight. My kids are big fans of the fried rice, and I'm partial to the lo mein. I really hope word spreads about this place. I want to continue enjoying their food for years to come.",5,[u' complimentary cream'],0.3,[u' little leery'],-0.1875
KWTv8elo9HiN9sIKvN0_bQ,That is a good food. The Lo mein is my favour. I love it.,5,[u' good food'],0.7,[],0
KWTv8elo9HiN9sIKvN0_bQ,"This is the best tasting chinese food I have ever eaten in Phoenix.   We live near this restaurant and the other night the family and I out and about and were looking for some Chinese food.  I had noticed this place recently and decided I'd like to give it a try.  We were a little hesitant at first because this isn't the best neighborhood and the restaurant doesn't have the best curb appeal.  

Upon entering we found that the inside looks much nice/cleaner than the outside.  The dining room is very welcoming and the staff are very friendly.  It even smells clean!  

As we sat down and were preparing to order the waitress was chatting with my 7 year old daughter.  The waitress leaves and when she comes back she brings my daughter some egg rolls to munch on while we are thinking about our order.  I though this was awesome.  I ordered the Terriyaki Chicken (See Picture) and my wife ordered the Vegetable Chicken.  The terriaki chicken was AWESOME!, the texture was great, it had a crispy outter crust and perfectly cooked inside.  The presentation was great and visually appealling.  The terryiaki sauce was also excellent.  The egg rolls were great and tasted similar to Ling and Louies @ wild horse pass casino.  The rice was seasoned to perfection and included vegetables like carrots and peas.  The portions were large and were enough for 2 meals.  We definately needed a to go box.  Our meal came out to $17.00.  

This place ROCKS!  I will definately be recommending it to my friends and family.  We will be back soon.  Probably this week!  Lol.  

P.S.  On a side note a visit to the restroom resulted in a SUPER clean restroom which smelled of fresh cleaning products.",5,"[u' also excellent', u' SUPER clean', u' fresh cleaning']",1.65,[u' little hesitant'],-0.1875
KWTv8elo9HiN9sIKvN0_bQ,"After reading the reviews I thought I was onto something but my visit proved otherwise. I had a combo plate and ordered a side of Lo mein and it was all very unremarkable. All the food had a similar flavor that wasn't pleasant, burned oil maybe??? I was brought a cup of soup to start that was on the border of being cool, not cold but not warm either which made me wonder if it had been sitting from the night before as I was the first customer for lunch.

Did not walk out of this place having enjoyed my meal and actually said ""yuck"" when I got in the car. I thought the prices looked good until the bill came and a combo meal, ice tea and side of lo mein cost $20.

My search for decent Chinese food in the valley of the sun continues...",2,[],0,"[u"" n't pleasant""]",-0.366666667
KWTv8elo9HiN9sIKvN0_bQ,"I don't often get over to this side of town, but I was referred to this place by a friend who owns another restaurant nearby. I went in and met with the owner who was really cool - it seems to be a family-run business - I think his parents are cooking the food. It was their grand opening (according to a hand drawn sign outside), but they could have been open for years the way the place was set up. It's clear they have run restaurants before or worked in the industry at least.

This place has a large dining area and it's a lot nicer inside than the outside would have you believe. The place is clean and smells good too. What's even better is that this place delivers... from 27th to 75th ave and from Buckeye to Bethany. 

I ordered the General Tso's Chicken with rice, some egg rolls and some wontons. It's always good to gauge a new restaurant by standard staples of the cuisine (that's why my first orders at pizza places are pepperoni etc.). First off - don't let the low prices fool you - the food is DAMN GOOD. Both me and my girlfriend devoured the egg rolls and wontons immediately and wished we had more. We both decided the chicken was on our list for being among the best we've had. 

I mean, for Chinese fast food that will deliver to your house, this is about as good as you can expect. It's clear they care about quality and speed and they seem really excited to be opening their own business. I really hope this place does well. 

Check them out!",5,"[u' really cool', u' grand opening', u' always good', u' fast food', u' as good', u' own business']",3.05,[],0
KWTv8elo9HiN9sIKvN0_bQ,"There're food are very good, you can taste the different to other restaurant, fresh cook and delicious. The house Lo Mein are the favorite dish.",5,"[u' very good', u' fresh cook', u' favorite dish']",1.71,[],0
F53MSa5SYzO9BG8c_JhskQ,"This place is just OK.  The Pho there is OK, nothing exciting honestly.  I've only been to a few pho places but this one is probably at the bottom (not saying that it's bad though.....just comparing).  

The place is very clean.  The pho is served in a bowl that's too small to be honest, I didn't have any room to put the bean sprouts in without it seeming like it would overflow the bowl. 

The fried rice is...well....average at most.  I wasn't the biggest fan, but once again...wasn't awful, i've just had better.

Lastly I had thai tea boba.  A bit too sweet for my taste, with not enough boba (which they also ""accidentally"" overcharged me for (they fixed the problem).  I looked over my bill and things didn't really add up...it seemed as if certain things were more expensive than i recall seeing on the menu.

Nonetheless, I probably wont come back here, but I guess it's worth a shot for curious restaurant goers.",3,"[u' just OK', u' very clean', u"" n't awful"", u' too sweet', u' certain things']",2.040952381,"[u' too small', u' curious restaurant']",-0.35
F53MSa5SYzO9BG8c_JhskQ,"This is a modest eatery found inside the Phoenix Oriental Market. The menu is short - basic pho, rice, and noodle dishes ranging in price from about 5 to 8 bucks. The big bowl of steaming hot pho is tasty and well-flavored with aromatic herbs and comes with the usual side plate of mint and crunchy fresh bean sprouts. The dining space itself is a simple no-frills area, partly open and surrounded by the fresh and refrigerated produce section of the Asian food market.",3,"[u' hot pho', u' fresh bean']",0.55,[],0
7xp3zCEMWtGKQUD_YNbUhw,"Came here around 11pm looking for something quick and somewhat decent.  We grabbed 2 veggies.  The sandwiches are pretty solid the younger guy being trained who made ours packed them full.  Great staff, sketchy neighborhood.",4,[u' Great staff'],0.8,[],0
LdFkSl9OGzSi6LaIoYlVwQ,"Great way to fake the bake! Michelle works out of her studio or can come to you. Very professional and sweet woman. I had a wonderful first experience as she made me feel very comfortable even though she saw me in my birthday suit! She was able to accommodate us girls last minute and did an awesome job! I love my ""glow"" from the bronzer and am so happy with the results. There's a HUGE diff. b/t an air brush tan & a misting tan from a machine. My tan was even w/no whipping lines or missed spots. She is very thorough! I def. recommend Michelle will give her a call the next time I'm back in AZ!",5,"[u' Great way', u' sweet woman', u' very comfortable', u' awesome job', u' so happy']",3.47,[],0
LdFkSl9OGzSi6LaIoYlVwQ,"Most natural looking tan ever! She is the best! In fact I had a trip planned and the only time I had before I left was at the crack of dawn to get tanned, she actually was at my house at 6AM, and did a great job! Don't be nervous no streaking or wearing off on the clothes even whte ones! Plus she is super nice and fun to talk to! I will be doing this again for my next trip!",5,[u' great job'],0.8,[],0
LdFkSl9OGzSi6LaIoYlVwQ,"As a native here in Arizona, I know to stay out of the sun! I don't want to look like a wrinkled up old lady, however I love the look of a golden tan. I tried the automatic spray tanning beds, YIKES is all I have to say!! I looked scary!! Thankfully I found Michele. She is a true professional, I felt totally comfortable and she was able to customize my tan so it looked natural! I looked sun kissed :D which is difficult with my Irish skin...I looked 10 lbs lighter YAY! I'm so excited to have found her!",5,"[u' golden tan', u' totally comfortable']",0.7,[],0
LdFkSl9OGzSi6LaIoYlVwQ,"Okay girls and boys, we know by now that tanning ages your skin and no one wants to look like a dried up old prune when you're 30. But then again, who wants to look pasty white? The Organic Glow offers an alternative and what's more, the owner -- a delightful and, once she gets going, hysterical gal named Michele -- comes to you! She actually came to our office and set up camp in our lunch room. She comes in tow with a folding tent, an airbrush contraption and an all-natural, stink-free tanning formula. You can undress to your level of comfort (I would recommend an old bathing suit if you want tan lines) while Michele carefully sprays you down in the tent. Pretty cool. Michele's down-to-earth attitude also makes you feel at ease about the whole business of standing at attention while someone sprays bronzer onto your exposed bod. Michele's background is in makeup for photo shoots so she's used to this stuff. Her prices are decent but even cheaper if you have a friend along.",4,[],0,[u' hysterical gal'],-1
LdFkSl9OGzSi6LaIoYlVwQ,"I got  to know Michele as she was doing my make-up and styling for shooting of my Yoga DVD (currently #1 flow DVD on Amazon - Yay!) AND SHE DID INCREDIBLE JOB! She made me look like an angel - perfect light make up - so I was looking natural but spectacular....and I am super picky regarding my looks especially for yoga shoots - where you can over do so easily ;-O

Now I am frequent flyer at her studio coming for an organic spray tan! Being ""scandinavian type"" and trying to stay away from the direct sun - I became addicted to this. 

As I am in service industry myself, I truly appreciate how professional and experienced she is. The results are perfect = so natural. Believe me - I know what I am talking about - I have turned out orange few times already - NEVER with Michele.

Have you seen her pricing? No comments necessary - it is a steal!",5,"[u' perfect light', u' super picky']",1.033333333,[],0
LdFkSl9OGzSi6LaIoYlVwQ,"I had a horrible experience with Michelle Lee. I live approximately 50 minutes away from her location and she booked an appointment with me at 10 am and when I arrived at her home she was not there. When i called her she didn't answer but then texted me to tell me that she had a photo shoot ""come up"" and wouldn't be able to do my tan until 3:00 pm. I drove 50 minutes each way for nothing, and when I told her this was unacceptable she got extremely rude with me. Stay away from this woman!!!",1,[],0,"[u' horrible experience', u' extremely rude']",-1.3
LdFkSl9OGzSi6LaIoYlVwQ,"I wish I could leave 0 stars. I was not tanned by her and here is the story behind it. I called for my fiance to set up an appointment for airbrush tanning, she refused to talk to me and would only talk to my fiance. After about 20 minutes on the phone with her, she was finally able to set an appointment. Then she was supposed to be receiving and email to confirm the appointment with links she had told her to check out. After not receiving them initially, and a lot of back and forth through text, we finally got the email without any links. We asked if she could resend with the links. Got no response until the day before the appointment and said she had to cancel because ""something came up"". Terrible customer service and not helpful at all. Seems like a complete flake. As this tan was supposed to be for our wedding, we are now going to have to find another place to do it before our wedding in 3 days. Completely inconsiderate of her, no apology or anything.",1,[u' finally able'],0.5,[u' Terrible customer'],-1
nrJHoyHClxK4zJp99VOshA,"Stopped in on a Saturday for a quick lunch. Looked for another one, but this location was on the way. Having been here once before and having had an unpleasant experience, we were a bit reluctant to stop again. 

Ordered two subs, chips and a drink. Sandwiches were good. Bread was very fresh. Lots of veggies. Smaller selection of veggies than most places and no lite or low calorie condiments available. 

The problem with this location (and why we won't be back) is the manager. The same lady was there as on the previous visit. She is unpleasant. Doesn't make you feel welcome. 

Will not be back.....",1,"[u' quick lunch', u' very fresh']",0.723333333,[u' unpleasant experience'],-0.65
nrJHoyHClxK4zJp99VOshA,"Went into the location and waited minutes for someone to appear to ask us for our order and even after we said Hello they didn't acknowledge us. Had to repeat order several times. It was very frustrating how nothing seemed to be in stock, no philly cheese steak nor soup was available. I heard someone as I was leaving being told some type of bread wasn't available (which is actually understandable, condiments and bread sometimes run out or need to be retrieved/baked). 

Felt like we were being rushed and just didn't feel like a clean place. Will not go back.",1,[u' clean place'],0.366666667,"[u' very frustrating', u"" n't available""]",-0.72
nrJHoyHClxK4zJp99VOshA,"I have been going to this Blimpies off and on for over 15 years.  They truly have the freshest bread and ingredients. 

 However, I am a simple man.  I will take me an ham and cheese sandwich with lettuce, tomato and mayonnaise on white bread and I am a happy camper.  A simple sub shop with simple ingredients for a simple man.

Look, if you want all the different varieties that Subway offers then Blimpies is not for you.  However, if you want a simple old school sandwich like the ham and cheese or even the roast beef with spicy mustard then you can not go wrong here.  You can even score a $5 foot long on select sandwiches and you can even make your sandwich a combo meal just like at the other places.

You remember the commerical ?  Simply Blimpie For Fresh Slice Subs !",5,[u' happy camper'],0.8,[],0
nrJHoyHClxK4zJp99VOshA,My favorite sub shop.  Great sandwiches friendly staff.  We stop there a couple times a week.,5,"[u' favorite sub', u' friendly staff']",0.875,[],0
nrJHoyHClxK4zJp99VOshA,I was on my way to school running  little late and I needed something healthy and quick. So I stopped by this location and gentlemen greeted me right away and with in a few minutes I was out of that store as a happy customer. My sandwich was good. Bread was fresh and soft. I will start stopping by more often before class now and I'm sure I'll tell my friends about this locations as well.,5,[u' happy customer'],0.8,[],0
nrJHoyHClxK4zJp99VOshA,Again. Owner is like a mom to me. She was closed on Easter and when I was staring through the window while she was just doing check up on the store and making a minor private order she saw me and told me they are closed. As I was getting in my car she ran to the window and psst me to come in and order  real quick while she was still closed. That alone is a million stars.,5,[u' real quick'],0.5,[],0
aL6HK8EBNMPUWm3zi8xtew,"Jack in the box is NOT known for its cuisine or world renowned chefs. However, there are one or two items I have a strange liking for.

I walked in and was greeted by a young Latino kid working the counter. 

After I placed my order I decided to use the bathroom and as I walked through the dining area I noticed several filthy tables and the area was in dire need of a good cleaning.

I walk into the bathroom and stepped in a large amount of water and the floor was covered with several mounds of soggy toilet paper.",1,[u' good cleaning'],0.7,[u' filthy tables'],-0.8
aL6HK8EBNMPUWm3zi8xtew,I don't normally eat Jack in the box but I decided to get some since it was on my way home. I made sure they had my order right. But some how when I got home I notice they some how mange to get it wrong. It was pretty upsetting and to add to it all the curly fries they gave us look old and it seem like they where just crumbs. I don't think I will be going back to Jack in the box.,2,[u' pretty upsetting'],0.25,[],0
aL6HK8EBNMPUWm3zi8xtew,"This place is dirty inside & out,no one cleans, too many transients inside hanging around &bathing  in restrooms & drugs. Awful & dirty.",1,[u' too many'],0.5,[],0
aL6HK8EBNMPUWm3zi8xtew,"This place serves some really good menu items, it's just in a bad location. Business has shrunk due to the lightrail construction making it impossible to get in and out of since things are a mess and will be for quite some time until the construction is complete.

Their service is great and that's what keeps me coming back.",4,[u' really good'],0.7,[u' bad location'],-0.7
aL6HK8EBNMPUWm3zi8xtew,"I live in Denver. Phoenix was my childhood home. When I go to Jack in Denver, it's a different franchisee and it's obvious. The Jack's in Denver get my order right 25% of the time. This place gets it spot on every time. Thanks for being consistent. Never thought I'd give a 5 star review for fast food but you and your franchisee deserve to know I appreciate it.",5,[u' fast food'],0.2,[],0
a48i_DFln5e1oaJKNM6BUg,"I am giving a 5 star rating not because I think Subway is a 5 star restaurant, but because of the service. At most Subways around Phoenix, the service leaves much to be desired (and occassionally straight pisses you off). Every time I've been to this location, the employees have been incredibly friendly and make your sandwich with care. Whoever owns this franchise obviously pays attention during interviews.",5,[u' incredibly friendly'],0.375,[],0
a48i_DFln5e1oaJKNM6BUg,"Was in today, poor guy was working by himself. And some B from the dance school had a long special order for him while he was busy in the first place. While she was stealing cups upon cups for who ever came in and flustering the employee we decided to leave. I hope the owner see this and knows the employee did all he could and the lady I'm sure will try to get all her money back.",3,[u' special order'],0.357142857,[u' poor guy'],-0.4
a48i_DFln5e1oaJKNM6BUg,"This is BY FAR the worst Subway I have EVER been to! The service was horrid, we waited almost 10 minutes to be waited on and there was no one else in front of us. They got our order wrong, the employee was incredibly rude and for the price we paid it was not worth it. When we complained to upper Management we did not get a response for over 5 days and they did not even try to offer any type of solution. Needless to say, even though this Subway is the closest to my house I will NEVER go there again and will never recommend it either!",1,[],0,[u' incredibly rude'],-0.3
a48i_DFln5e1oaJKNM6BUg,"Today, I had the distinct dis-pleasure of paying $9.55 for a 12"" Tuna, on Wheat, with a drink. I like tuna. And I like drinks. But I don't like paying $10 for a fast food sandwich. I've sorta been looking for a better place to grab lunch while I am at flight school, and this may be just the real legitimate reason I have been looking for. 

Then.... In my irritation, I try to find a price list for the sandwiches, and the pages are removed from the site. I stumbled upon the nutritional info for the sandwiches, and discovered that while none of the sandwiches are particularly ""healthy"", the Tuna sandwich is right up there in the mix for the worst. How do you screw up a tuna fish sandwich and make it unhealthy? Tuna, mayo, cheese, and bread. That's it...  Drown it in mayo. That would be my answer.",1,[u' fast food'],0.2,[],0
C14bjKs2rJhRDnKu7ZSSIg,"MMy wife suggested we try this place instead of our regular Chinese buffet (Fugi's). Boy, was I disappointed! The girl at the cash register (you pay before you are seated) was more interested in an iPad than in taking our money). After being seated I headed for the buffet line and found the ""Habachi""....oops! It was a flattop grill and a gas grill, no charcoal! Stir fry done on a flattop is not stirfry! Then on to the steam table...ALL the food was mediocre at best...bland and unseasonably. The sushi was horrible...tasted like the refrigerator. The salad bar had a minimum of items and the lettuce looked like it had been there all day. Although the price was $9.99,they did offer a 10% discount for seniors, which I asked for and then was charged the full price anyway. The waitstaff were aloof and could have cared less if we were even there. I for one will not go back and will gladly pay the $12 I usually pay at Fugi's for better quality!",1,"[u' more interested', u' full price']",0.725,[],0
C14bjKs2rJhRDnKu7ZSSIg,"OK, so this isn't healthy fare by any means, but it works when I have a Chinese buffet itch that I need to scratch. You first pay for your meal, then take your ticket to a hostess, who then seats you. A waiter comes by to take your drink order and brings it. You take it from there, right over to the buffet. 

On one end is a sushi area, then go from there to desserts, noodles, chicken, seafood, meat, veggies, etc. It's your typical stuff: General Tso's chicken, beef and broccoli, honey shrimp, crab wontons, mushrooms, sweet 'n' sour chicken, etc., etc. and a lot more. 

A negative is that you get your food from only one side, instead of the food being in an ""island"" set up where people can get food from all sides. If you were to come here during a rush, I imagine it could get annoying.",3,[],0,"[u"" n't healthy"", u' typical stuff', u' sour chicken']",-0.791666667
C14bjKs2rJhRDnKu7ZSSIg,"It is like taking a trip to a B rated Vegas buffet with out leaving phoenix!

A fancy black slate entrance and fountain lead you in to a dining area complete with fiber optic lamps and a giant one sided buffet.

The organisation of items is weird with Desert sushi more desert then back to normal food.

The sushi is mostly stuff with Krab, there is a wide range of items all the usual's including a few good veggie options, and stuff for the kids like pizza french fries and chicken nuggets. 

One down side is the lack of accurate labels, this makes it hard to guess what is veggie and what is not.

Quality was decent service on drinks was great and for a 6.99 lunch we were all pretty happy. 

It is easy to split a check here and they have large tables making it a good setting for a large group.",4,"[u' mostly stuff', u' good veggie', u' pretty happy', u' good setting']",2.425,"[u' black slate', u' wide range', u' chicken nuggets']",-0.866666667
C14bjKs2rJhRDnKu7ZSSIg,"I'm updating my review from the last time, someone who give this place a 5 stars is crazy. There is a better buffet by Spectrum Mall on Bethany Home and 15th Ave called Mandarin Buffet. For the price you pay, Hibachi Grill and Supreme Buffet has an especially underwhelming selection of food. Not only that, the food is probably some of the worse I've had at a chinese buffet. It's not even worth wasting your daily caloric or sodium intake to try this food. Please do yourself a huge favor and don't waste your money on this place. I'm sorry to say that I did.",1,[u' huge favor'],0.4,[],0
C14bjKs2rJhRDnKu7ZSSIg,"This place was okay. It was a buffet, we didn't expect the food to be that great. And it wasn't, really. But it wasn't bad. My son and husband devoured the all you can eat sushi and the kids got to try things that they've never had such as clams, squid, and crawdads. For kids who are less adventurous than ours, there is a pizza and chicken area. Everything from over there looked pretty dry and basic, but I'm sure for anyone who came to a chinese buffet and grabbed some American food instead, they will get what they expect. I wasn't all that impressed with the service. 

What they do have are these melt in your mouth sweet roll things with some sort of honey butter and it is to die for. I swear, I dream about them. I would go back just to have some more of that one item. I'm not even kidding.",3,"[u"" n't bad"", u' looked pretty']",0.6,[u' chicken area'],-0.6
C14bjKs2rJhRDnKu7ZSSIg,"The food was okay for a complete dinner, a good value for $8.00 with 20% coupon in the Chinese newspaper. 

They have the typical Chinese food, orange chicken, sweet sour pork, chow main, hot & sour soup, wonton soup, and, sushi.  The sushi is filled with crab meat and cucumber, looked pretty much the same style.   Nothing fancy about it!  The only standout dishes for me were the salt and pepper shrimp, steam clams, and ice creams.  I do like their green tea ice cream and pineapple sherbet.   The hibachi grill selections were limited.  The items didn't look too fresh, so skipped the grill.  They have a so called ""Prime Rib"", don't be fooled by the name.  It was unchewable!  We were trying to figure out what kind of meat it was.  Haha....

I do give them another star for keeping the food hot and stocking the trays.  Superior service for a buffet place!  They actually have a free Wifi password on the price board.   For the price of a Starbucks coffee, you can fest all day and work!",3,"[u' good value', u' pretty much', u' too fresh']",1.225,[],0
C14bjKs2rJhRDnKu7ZSSIg,"I have been looking for a good Chinese Buffet for a while in my neighborhood and luckily Hibachi Grill has arrived. I have been to few Buffets in which the service was as quick, friendly and efficient. A sumptuously decorated Mid Century Modern Chinese decor makes you feel like you are eating at a fancy casino buffet. Lots of attractive attention to detail. So what ? I'm here for the food.

Only drawbacks- no dumplings- fried or steam or dim sum other than pork bun- which was great however. Also, no duck, hoisin or plum sauce, and if they did have it it was hard to find. BUT- they had wonderful egg custard tarts that were sublime- I am still obsessing ove them and that made of for what they lacked in other areas.

And the food did not disappoint. Great tot and sour soup with a perfect subtle taste of vinegar, delicious and hot cheese wontons, hell, they even had fried sweet plantains that were as good as my Cuban mother makes. 

Keep in mind, it's a buffet and I arrived it was the beginning of lunch so everything was hot and fresh. They offer the usual suspects from standard buffet fare, but all in high quality. Lots of shrimp and beef, and although I did not try the Hibachi Grill, it looked very appetizing  with lots of happy diners waiting in line to get their fix. The sushi bar was well stocked and fresh. Remember, it's a buffet, not Ra in Scottsdale. It was all very fresh. No "" low sodium"" soy sauce ? So what. 

All that, as well as 8 flavors of very premium ice cream for $6.99. God, I love America ! For a Chinese Buffet with this price for lunch, it is as good as it gets.

I walked out after meeting my new Yelp friends Rand, Norm, Mike, Robyn and Lynn extremely happy, satisfied and pleased as a pig. I will be back.",5,"[u' attractive attention', u' wonderful egg', u' sweet plantains', u' as good', u' happy diners', u' very fresh', u' as good', u' extremely happy']",5.54,[u' subtle taste'],-0.333333333
C14bjKs2rJhRDnKu7ZSSIg,"OK, so I haven't been to a buffet in a long time.  When I reflect on the idea of buffets -- Sweet Tomatoes excluded, since lots of salad means lots of Good-For-You-ness, right?... --  I feel like I used up my lifetime maximum instances of buffet-eating in college, where the dining halls were all-you-can eat.  Anyway, this place just opened and is within walking distance of where I live, so my neighbors and I decided to check it out.  

Overall I wasn't very impressed with the food, even in comparison to other Chinese food buffets I've been to in the past.  In addition to a standard selection of Chinese buffet items (beef with broccoli, fried rice, sweet and sour chicken) they have sushi, pizza (for kids, I'm assuming), and a hibachi grill section where you can pick vegetables and meats and they'll stir fry it for you (included in the buffet price).  The hibachi stir fry I made up was OK, but the sauce added to it was too salty for me.  The sushi was bland and what you would expect from a grocery store.  They only had regular high-sodium soy sauce, as far as I could tell.  (I tried asking one of the wait staff for low-sodium soy sauce and there was a language barrier; he brought back another staff member to our table, who also didn't understand what I was asking.)  The egg roll I tried was really salty (even without sauce) and nothing to write home about.  Usually sweet & sour sauce can make even mediocre egg rolls worth eating, but the S&S sauce on the buffet was a downright-scary Kool-Aid-red color.  However, the fresh pineapple and melon was a nice touch, as were the 8 different ice cream flavors on the far end of the line.

I will say it was pretty cheap at $10 per adult, so if you're looking for a lot of food on a budget, it might be a decent option for you.  Personally though, I just think I am past the days of eating foods with scary salt levels, artificial colors, etc., so I won't plan on going back (though if I had to return for some reason, there are enough edible options so that I wouldn't starve).",2,"[u' very impressed', u' fresh pineapple', u' nice touch', u' pretty cheap']",2.225,"[u' sour chicken', u' even mediocre', u' scary salt', u' artificial colors']",-1.975
C14bjKs2rJhRDnKu7ZSSIg,"Food is great, good price and beautiful decor.",3,"[u' good price', u' beautiful decor']",1.55,[],0
